Phrase,Freq,Country,#hashtag
austria,639,austria,austria
prague,335,czech,czech
czech,335,czech,czech
denmark,1207,denmark,denmark
greenland,297,denmark,denmark
copenhagen,200,denmark,denmark
estonia,369,estonia,estonia
kosovo,361,eu,balkans
serbia,306,eu,balkans
albania,193,eu,balkans
belgium,1063,eu,belgium
eu,30347,eu,eu
brussels,4097,eu,eu
e.u.,251,eu,eu
#eu,203,eu,eu
europe,9652,eu,europe
greece,1449,eu,fp-greece
italy,3003,eu,fp-italy
finland,832,finland,finland
france,13130,france,france
paris,4924,france,france
germany,8038,germany,germany
berlin,1273,germany,germany
munich,372,germany,germany
athens,289,greece,greece
hungary,927,hungary,hungary
budapest,781,hungary,hungary
rome,1085,italy,italy
venice,287,italy,italy
florence,218,italy,italy
latvia,791,latvia,latvia
netherlands,980,netherlands,netherlands
dutch,203,netherlands,netherlands
amsterdam,194,netherlands,netherlands
norway,1214,norway,norway
poland,1928,poland,poland
portugal,553,portugal,portugal
romania,295,romania,romania
spain,1793,spain,spain
barcelona,377,spain,spain
catalonia,322,spain,spain
sweden,7828,sweden,sweden
stockholm,999,sweden,sweden
switzerland,2136,switzerland,sweden
geneva,273,switzerland,switzerland
britain,17327,uk,
london,15888,uk,
scotland,10866,uk,
england,6539,uk,
manchester,5330,uk,
ireland,4937,uk,
uk,4877,uk,
rotherham,2761,uk,
westminster,1993,uk,
cambridge,1950,uk,
sussex,1675,uk,
glasgow,1293,uk,
leeds,1270,uk,
birmingham,1270,uk,
yorkshire,1247,uk,
liverpool,1058,uk,
rochdale,992,uk,
telford,787,uk,
chelsea,743,uk,
oxford,617,uk,
dublin,540,uk,
cardiff,539,uk,
edinburgh,529,usa,
leicester,344,uk,
belfast,340,uk,
wales,332,uk,
newcastle,322,uk,
huddersfield,321,uk,
islington,276,uk,
london,274,uk,
salford,268,uk,
windsor,265,uk,
southampton,213,uk,
wrexham,205,uk,
derbyshire,185,uk,
essex,181,uk,
afghanistan,8011,usa,fp-afghanistan
canada,20265,usa,fp-canada
alberta,1555,usa,fp-canada
china,33007,usa,fp-china
beijing,1118,usa,fp-china
#china,324,usa,fp-china
shanghai,246,usa,fp-china
cuba,1647,usa,fp-cuba
iran,86244,usa,fp-iran
tehran,8772,usa,fp-iran
baghdad,2678,usa,fp-iraq
japan,2655,usa,fp-japan
tokyo,471,usa,fp-japan
korea,3634,usa,fp-korea
north korea,183,,fp-korea
mexico,9069,usa,fp-mexico
saudi arabia,3895,usa,fp-saudi
arabia,1169,usa,fp-saudi
venezuela,3586,usa,fp-southamerica
honduras,1290,usa,fp-southamerica
guam,1231,usa,fp-southamerica
bolivia,1230,usa,fp-southamerica
guatemala,1185,usa,fp-southamerica
brazil,737,usa,fp-southamerica
chile,640,usa,fp-southamerica
argentina,394,usa,fp-southamerica
jamaica,394,usa,fp-southamerica
costa rica,355,usa,fp-southamerica
bolivian,205,usa,fp-southamerica
salvador,185,usa,fp-southamerica
chilean,180,usa,fp-southamerica
ukraine,58177,usa,fp-ukraine
san juan,486,usa,PuertoRico
afghanistan,8011,usa,fp-afghanistan
canada,20265,usa,fp-canada
alberta,1555,usa,fp-canada
china,33007,usa,fp-china
beijing,1118,usa,fp-china
#china,324,usa,fp-china
shanghai,246,usa,fp-china
cuba,1647,usa,fp-cuba
iran,86244,usa,fp-iran
tehran,8772,usa,fp-iran
baghdad,2678,usa,fp-iraq
japan,2655,usa,fp-japan
tokyo,471,usa,fp-japan
korea,3634,usa,fp-korea
north korea,183,usa,fp-korea
mexico,9069,usa,fp-mexico
saudi arabia,3895,usa,fp-saudi
arabia,1169,usa,fp-saudi
venezuela,3586,usa,fp-southamerica
honduras,1290,usa,fp-southamerica
guam,1231,usa,fp-southamerica
bolivia,1230,usa,fp-southamerica
guatemala,1185,usa,fp-southamerica
brazil,737,usa,fp-southamerica
chile,640,usa,fp-southamerica
argentina,394,usa,fp-southamerica
jamaica,394,usa,fp-southamerica
costa rica,355,usa,fp-southamerica
bolivian,205,usa,fp-southamerica
salvador,185,usa,fp-southamerica
chilean,180,usa,fp-southamerica
ukraine,58177,usa,fp-ukraine
san juan,486,usa,PuertoRico
nj,3532,usa,
va,3472,usa,
wisconsin,3426,usa,
chicago,3344,usa,
georgia,3260,usa,
illinois,3260,usa,
ohio,3255,usa,
dc,3193,usa,
carolina,2936,usa,
ny,2624,usa,
seattle,2475,usa,
houston,2307,usa,
alabama,2228,usa,
kentucky,2153,usa,
la,2116,usa,
boston,2103,usa,
baltimore,2067,usa,
austin,2015,usa,
arkansas,1871,usa,
jacksonville,1841,usa,
atlanta,1783,usa,
detroit,1708,usa,
vegas,1667,usa,
tennessee,1656,usa,
hampshire,1574,usa,
oregon,1571,usa,
washington dc,1514,usa,
philadelphia,1499,usa,
oklahoma,1459,usa,
kansas,1437,usa,
manhattan,1421,usa,
colorado,1419,usa,
hawaii,1404,usa,
miami,1384,usa,
indiana,1239,usa,
massachusetts,1224,usa,
u.s,1016,usa,
charlottesville,999,usa,
d.c.,971,usa,
cali,953,usa,
brooklyn,942,usa,
louisiana,935,usa,
nc,922,usa,
stanford,904,usa,
maryland,891,usa,
sf,891,usa,
dallas,885,usa,
alaska,877,usa,
sacramento,867,usa,
capitol hill,815,usa,
wa,786,usa,
columbia,753,usa,
blackburn,752,usa,
san diego,750,usa,
