Phrase,Freq,Country,#hashtag,Synonyms,UK-Gov
nightingale,7584,uk,corona-virus,,1
gtech,1254,uk,corona-virus,,1
jenny harries,808,uk,corona-virus,,1
job retention scheme,401,uk,corona-virus,,1
habib zaidi,331,uk,corona-virus,,1
chloe middleton,322,uk,corona-virus,,1
louisa jordan,289,uk,corona-virus,,1
nhs workers,229,uk,corona-virus,,1
herd immunity plan,165,uk,corona-virus,,1
nih,157,uk,corona-virus,,1
chris whitty,100,uk,corona-virus,,1
chris witty,100,uk,corona-virus,,1
jenny harries,100,uk,corona-virus,,1
sir patrick,100,uk,corona-virus,,1
sir patrick vallance,100,uk,corona-virus,,1
snorkels,100,uk,corona-virus,,1
UK deaths,100,uk,corona-virus,,1
vallance,100,uk,corona-virus,,1
covid19uk,2,uk,corona-virus,,1
paycheck protection program,2787,usa,corona-virus,,0
virus briefings,2013,usa,corona-virus,,0
dr. birx,1614,usa,corona-virus,,0
hospital exec,1507,usa,corona-virus,,0
issues emergency authorization,1261,usa,corona-virus,,0
emergency authorization,1212,usa,corona-virus,,0
response bill,939,usa,corona-virus,,0
hydroxychloroquine,929,usa,corona-virus,,0
bill gates-funded,790,usa,corona-virus,,0
roadhouse ceo,768,usa,corona-virus,,0
spring breakers,692,usa,corona-virus,,0
anthony fauci,654,usa,corona-virus,,0
loan resources,648,usa,corona-virus,,0
fabio rampelli,640,usa,corona-virus,,0
chinavirus,555,usa,corona-virus,,0
china-virus,555,usa,corona-virus,,0
nations distillers,555,usa,corona-virus,,0
infant suffocation,549,usa,corona-virus,,0
anthony cardillo,482,usa,corona-virus,,0
jim santilli,477,usa,corona-virus,,0
#paycheckprotectionprogram,463,usa,corona-virus,,0
amador,458,usa,corona-virus,,0
colleen smith,378,usa,corona-virus,,0
fema,375,usa,corona-virus,,0
mario salerno,371,usa,corona-virus,,0
symptoms border patrol,370,usa,corona-virus,,0
relief bill americans,342,usa,corona-virus,,0
toilet paper aisle,329,usa,corona-virus,,0
gun store closures,328,usa,corona-virus,,0
crisis manager-in-chief,322,usa,corona-virus,,0
christi grimm,318,usa,corona-virus,,0
world health organizations budget,294,usa,corona-virus,,0
bill gates,283,usa,corona-virus,,0
hotel orgy,280,usa,corona-virus,,0
presidents briefings,264,usa,corona-virus,,0
thomas harvey,259,usa,corona-virus,,0
dr. vladimir,243,usa,corona-virus,,0
recovery bill,237,usa,corona-virus,,0
drug president,214,usa,corona-virus,,0
disease pandemics,202,usa,corona-virus,,0
house-to-house searches,175,usa,corona-virus,,0
alex gorsky,167,usa,corona-virus,,0
hoax breakdown,132,usa,corona-virus,,0
pandemic specialist,132,usa,corona-virus,,0
mass-panic efforts,112,usa,corona-virus,,0
robert redfield,94,usa,corona-virus,,0
fish tank cleaner,8842,,corona-virus,,1
hospital,7584,,corona-virus,,1
doctors,4750,,corona-virus,,1
doctor,4407,,corona-virus,,1
wuhan,4148,,corona-virus,,1
patients,3199,,corona-virus,,1
hospitals,2994,,corona-virus,,1
vaccines,2340,,corona-virus,,1
nurses,2206,,corona-virus,,1
nurse,1976,,corona-virus,,1
azithromycin,1714,,corona-virus,,1
nizamuddin,1195,,corona-virus,,0
aquarium cleaner,1113,,corona-virus,,1
ventilator shortage,1085,,corona-virus,,1
treatment drug,1049,,corona-virus,,1
food supply workers,1027,,corona-virus,,1
hydroxy,1027,,corona-virus,,1
pandemic relief package,965,,corona-virus,,1
home order,942,,corona-virus,,1
sulfate,888,,corona-virus,,1
coronavirus,832,,corona-virus,,1
emergency approval,782,,corona-virus,,0
wage subsidy,771,,corona-virus,,1
containment policies,749,,corona-virus,,1
flu samples,749,,corona-virus,,1
2019-nCoV,748,,corona-virus,,1
COVIDー19 ,748,,corona-virus,,1
nCoV,748,,corona-virus,,1
zinc sulfate,747,,corona-virus,,1
emergency field hospital,715,,corona-virus,,1
ventilator,713,,corona-virus,,1
stimulus deal,651,,corona-virus,,1
coronavirus,617,,corona-virus,,1
herd immunity,617,,corona-virus,,1
pandemic,609,,corona-virus,,1
