Phrase,Freq,Country,#hashtag,Synonyms
prague,335,czech ,czech ,FP-EU
denmark,1207,denmark,denmark,FP-EU
greenland,297,denmark,denmark,FP-EU
copenhagen,200,denmark,denmark,FP-EU
estonia,369,estonia,estonia,FP-EU
austria,639,eu,austria,FP-EU
kosovo,361,eu,fp-kosovo,FP-Balkans
serbia,306,eu,fp-serbia,FP-Balkans
albania,193,eu,fp-albania,FP-Balkans
belgium,1063,eu,belgium,FP-EU
withdrawal agreement bill,861,eu,brexit,
vatican,945,eu,catholics,
catholics,865,eu,catholics,
euros,364,eu,economy,FP-EU
euro,262,eu,economy,FP-EU
eu,30347,eu,eu,FP-EU
europe,9652,eu,eu,FP-EU
brussels,4097,eu,eu,FP-EU
europeans,320,eu,eu,FP-EU
e.u.,251,eu,eu,FP-EU
european,215,eu,eu,FP-EU
#eu,203,eu,eu,FP-EU
eu-mandated,146,eu,eu,FP-EU
euro project,140,eu,eu,FP-EU
greece,1449,eu,fp-greece,FP-EU
athens,289,eu,fp-greece,FP-EU
germany,8038,eu,germany,FP-EU
merkel,1438,eu,germany,FP-EU
berlin,1273,eu,germany,FP-EU
german,471,eu,germany,FP-EU
deutsche,413,eu,germany,FP-EU
munich,372,eu,germany,FP-EU
hanau,116,eu,germany,FP-EU
italy,3003,eu,italy,FP-EU
rome,1085,eu,italy,FP-EU
venice,287,eu,italy,FP-EU
florence,218,eu,italy,FP-EU
pipelines,338,eu,NS2,FP-EU
poland,1928,eu,poland,FP-EU
polish,321,eu,poland,FP-EU
polish border,294,eu,poland,FP-EU
portugal,553,eu,portugal,FP-EU
romania,295,eu,romania,FP-EU
slovakia,146,eu,slovakia,FP-EU
soros,1254,eu,soros,
spain,1793,eu,spain,FP-EU
spanish,821,eu,spain,FP-EU
barcelona,377,eu,spain,FP-EU
catalonia,322,eu,spain,FP-EU
finland,832,finland,finland,FP-EU
france,13130,france,france,FP-EU
paris,4924,france,france,FP-EU
macron,820,france,france,FP-EU
strasbourg,699,france,france,FP-EU
french,649,france,france,FP-EU
emmanuel macron,563,france,france,FP-EU
calais,386,france,france,FP-EU
michael valls,277,france,france,FP-EU
normandy,272,france,france,FP-EU
#yellowvest,39,france,france,FP-EU
hungary,927,hungary,hungary,FP-EU
budapest,781,hungary,hungary,FP-EU
latvia,791,latvia,latvia,FP-EU
shell,1363,netherlands,netherlands,FP-EU
netherlands,980,netherlands,netherlands,FP-EU
maastricht,287,netherlands,netherlands,FP-EU
dutch,203,netherlands,netherlands,FP-EU
amsterdam,194,netherlands,netherlands,FP-EU
norway,1214,norway,norway,FP-EU
sweden,7828,sweden,sweden,FP-EU
stockholm,999,sweden,sweden,FP-EU
swedes,749,sweden,sweden,FP-EU
switzerland,2136,switzerland,switzerland,
geneva,273,switzerland,switzerland,
nnamdi kanu,305,uk,activist,
gina miller,1080,uk,activist ,
terry jones,211,uk,actor,
ross kemp,190,uk,actor,
robert powell,188,uk,actor ,
rowling,915,uk,author,
nigel farage,2103,uk,brexit,farage
nigel,1760,uk,brexit,farage
withdrawal agreement,1250,uk,brexit,
brexit,451,uk,brexit,
brexiteer,263,uk,brexit,
ricky gervais,1563,uk,comedian,
gervais,308,uk,comedian,
boris,25799,uk,conservatives,johnson
boris johnson,23410,uk,conservatives,johnson
conservatives,17244,uk,conservatives,
johnson,10044,uk,conservatives,johnson
tory,3067,uk,conservatives,
john bercow,1980,uk,conservatives,
boris johnsons,1659,uk,conservatives,johnson
tories,1463,uk,conservatives,
thatcher,1133,uk,conservatives,thatcher
tory party,920,uk,conservatives,
mark francois,553,uk,conservatives,
roger scruton,485,uk,conservatives,
margaret thatcher,420,uk,conservatives,thatcher
cameron,417,uk,conservatives,
dominic raab,401,uk,conservatives,
steve hilton,283,uk,conservatives,
iain duncan smith,278,uk,conservatives,
nicky morgan,272,uk,conservatives,
matt hancock,253,uk,conservatives,
david cameron,233,uk,conservatives,
ken clarke,215,uk,conservatives,
katie hopkins,757,uk,cons-media,
austerity,1972,uk,economy,
pounds,1526,uk,economy,
referendum,6247,uk,election,
tommy robinson,2039,uk,far-right,robinson
scott morrison,835,uk,fp-australia,
australian,215,uk,fp-australia,
nhs,1794,uk,health,
christopher steele,2415,uk,intel,
owen,2633,uk,journalist,
owen jones,1165,uk,journalist,
paul mason,391,uk,journalist,
laura kuenssberg,384,uk,journalist,
andrew neil,1481,uk,journalist ,
brendan oneill,1304,uk,journalist ,
ash sarkar,320,uk,journalist ,
eamonn holmes,209,uk,journalist ,
victoria derbyshire,192,uk,journalist ,
maggie oliver,294,uk,justice,
labour,32173,uk,labour,
jeremy corbyn,11480,uk,labour,corbyn
labour party,9206,uk,labour,
jeremy,7059,uk,labour,corbyn
jess phillips,2799,uk,labour,phillips
blair,2331,uk,labour,blair
corbyn,2228,uk,labour,corbyn
emily thornberry,2215,uk,labour,thornberry
keir starmer,1660,uk,labour,starmer
labor,1651,uk,labour,
labour leader,1541,uk,labour,
sadiq khan,1371,uk,labour,khan
diane abbott,1320,uk,labour,abbott
tony blair,1299,uk,labour,blair
labour government,1092,uk,labour,
clive lewis,1069,uk,labour,lewis
labour mps,917,uk,labour,
john mcdonnell,916,uk,labour,
angela rayner,889,uk,labour,
richard burgon,711,uk,labour,
david lammy,697,uk,labour,
barry gardiner,537,uk,labour,
labour activist,454,uk,labour,
lindsay hoyle,405,uk,labour,
labour candidate,391,uk,labour,
chris williamson,359,uk,labour,
miliband,350,uk,labour,
dennis skinner,323,uk,labour,
keith vaz,300,uk,labour,
labour mp,296,uk,labour,
yvette cooper,289,uk,labour,
george galloway,285,uk,labour,
jess philips,281,uk,labour,
lisa nandy,270,uk,labour,
jon ashworth,256,uk,labour,
ken loach,256,uk,labour,
labour members,239,uk,labour,
alan johnson,225,uk,labour,
labour leadership race,219,uk,labour,
ken livingstone,216,uk,labour,
labour member,214,uk,labour,
labour manifesto,210,uk,labour,
labour voter,204,uk,labour,
labour party members,203,uk,labour,
kate hoey,202,uk,labour,
labour movement,201,uk,labour,
andy burnham,199,uk,labour,
joan collins,185,uk,labour,
labour party leader,183,uk,labour,
tony benn,182,uk,labour,
jonathan ashworth,181,uk,labour,
labour results,181,uk,labour,
swinson,1459,uk,libdems,swinson
jo swinson,450,uk,libdems,swinson
libdems,367,uk,libdems,
sky,2357,uk,media,
bbc,1554,uk,media,
guardian,376,uk,media,
david attenborough,239,uk,media,
robert maxwell,185,uk,media,
harry,17792,uk,royalty,harry
meghan,15627,uk,royalty,meghan
queen,7563,uk,royalty,queen
meghan markle,6199,uk,royalty,meghan
duchess,2558,uk,royalty,
william,2542,uk,royalty,william
charles,2535,uk,royalty,charles
prince,1830,uk,royalty,
monarchy,1613,uk,royalty,
prince harry,1542,uk,royalty,harry
royals,1397,uk,royalty,
crown,976,uk,royalty,
buckingham,872,uk,royalty,
royalty,723,uk,royalty,
prince charles,346,uk,royalty,charles
megan markle,290,uk,royalty,meghan
kate middleton,276,uk,royalty,
meghan markles,199,uk,royalty,meghan
prince-formerly-known-as-harry,85,uk,royalty,
lily allen,688,uk,singer ,
james arthur,288,uk,singer ,
poisoning,202,uk,skripal,
sturgeon,1030,uk,snp,sturgeon
snp,374,uk,snp,
conor mcgregor,336,uk,sports,
gary neville,278,uk,sports,
gary lineker,204,uk,sports,
ben collins,194,uk,sports,
usman khan,457,uk,terror,
knife stabbings,194,uk,terror,
knife,1854,uk,terrorism,
philip schofield,338,uk,tv,
rachel riley,202,uk,tv,
nick ferrari,190,uk,tv,
britain,17327,uk,,
london,15888,uk,,
parliament,12686,uk,,
scotland,10866,uk,,
quid,10183,uk,,
england,6539,uk,,
manchester,5330,uk,,
ireland,4937,uk,,
uk,4877,uk,,
lord,4524,uk,,
kingdom,4024,uk,,
rotherham,2761,uk,,
westminster,1993,uk,,
cambridge,1950,uk,,
mp,1895,uk,,
brits,1874,uk,,
sussex,1675,uk,,
arse,1601,uk,,
english,1599,uk,,
scots,1323,uk,,
peerage,1308,uk,,
glasgow,1293,uk,,
leeds,1270,uk,,
birmingham,1270,uk,,
yorkshire,1247,uk,,
commonwealth,1197,uk,,
liverpool,1058,uk,,
bloke,1012,uk,,
rochdale,992,uk,,
hrh,985,uk,,
britons,848,uk,,
home secretary,788,uk,,
telford,787,uk,,
chelsea,743,uk,,
oxford,617,uk,,
british,579,uk,,
dublin,540,uk,,
cardiff,539,uk,,
blyth,536,uk,,
edinburgh,529,uk,,
scot,374,uk,,
bbcs,368,uk,,
cornwall,361,uk,,
whitehall,346,uk,,
leicester,344,uk,,
belfast,340,uk,,
wales,332,uk,,
newcastle,322,uk,,
huddersfield,321,uk,,
knight,313,uk,,
shadow cabinet,312,uk,,
u.k.,310,uk,,
oldham,305,uk,,
party mep,305,uk,,
grimsby,304,uk,,
peston,303,uk,,
uxbridge,302,uk,,
milton keynes,286,uk,,
islington,276,uk,,
george orwell,276,uk,,
london,274,uk,,
winston churchill,271,uk,,
churchill,268,uk,,
salford,268,uk,,
windsor,265,uk,,
rasmussen,264,uk,,
hackney,261,uk,,
bercow,257,uk,,
project fear,242,uk,,
southampton,213,uk,,
post-brexit,212,uk,,
parliament today,212,uk,,
wrexham,205,uk,,
unionist,201,uk,,
sas,201,uk,,
sherlock,189,uk,,
derbyshire,185,uk,,
essex,181,uk,,
home office boss,136,uk,,
home office worker,134,uk,,
philip rutman,124,uk,,
andrew sabisky,123,uk,,
abortion,9230,usa,abortion,
abortions,3032,usa,abortion,
parenthood,2993,usa,abortion,
term abortion,301,usa,abortion,
abortionist,289,usa,abortion,
abortion fanatic,195,usa,abortion,
champions abortion,171,usa,abortion,
abortion providers abortion,127,usa,abortion,
abortion industry secrets,105,usa,abortion,
abortion-protector,75,usa,abortion,
tom fitton,753,usa,activist,
nathan phillips,298,usa,activist,
james o'keefe,297,usa,activist,
louis farrakhan,295,usa,activist,
farrakhan,201,usa,activist,
vince vaughn,3155,usa,actor,
brad pitt,908,usa,actor,
joaquin phoenix,496,usa,actor,
jon voight,344,usa,actor,
gary sinise,341,usa,actor,
nick robinson,305,usa,actor,
robert conrad,279,usa,actor,
john wayne,216,usa,actor,
john cusack,209,usa,actor,
tom hanks,201,usa,actor,
kevin spacey,193,usa,actor,
timothy hutton,131,usa,actor,
michelle williams,828,usa,actress,
alyssa milano,435,usa,actress,
gwyneth paltrow,297,usa,actress,
jane fonda,267,usa,actress,
gwyneth,230,usa,actress,
mark galli,305,usa,author,
noah feldman,1493,usa,author,
water accessibility,270,usa,cc,
water accessibility issues,228,usa,cc,
george nader,1232,usa,child-abuse,
jeffrey epsteins,813,usa,child-abuse,
child abuse,437,usa,child-abuse,
jeffery epstein,317,usa,child-abuse,
billionaire pedophile,245,usa,child-abuse,
child porn,244,usa,child-abuse,
#christmas,246,usa,christian,
roger williams,217,usa,christian,
america god,216,usa,christian,
george lopez,739,usa,comedian,
joe rogan,342,usa,comedian,
george carlin,315,usa,comedian,
patton oswalt,207,usa,comedian,
jimmy fallons,132,usa,comedian,
kathy griffin,825,usa,comedian,
tucker carlson,2961,usa,cons-media,
fox,2793,usa,cons-media,
mark levin,2113,usa,cons-media,
laura ingraham,2036,usa,cons-media,
limbaugh,1793,usa,cons-media,
rush limbaugh,1459,usa,cons-media,
john solomon,1320,usa,cons-media,
juan williams,1111,usa,cons-media,
jay sekulow,1092,usa,cons-media,
sean hannity,1056,usa,cons-media,
murdoch,854,usa,cons-media,
ben shapiro,680,usa,cons-media,
kimberley strassel,673,usa,cons-media,
charlie kirk,552,usa,cons-media,
maria bartiromo,532,usa,cons-media,
gregg jarrett,524,usa,cons-media,
gutfeld,346,usa,cons-media,
glenn beck,321,usa,cons-media,
fox news,319,usa,cons-media,
james rosen,309,usa,cons-media,
shepard smith,301,usa,cons-media,
hannity,297,usa,cons-media,
lou dobbs,292,usa,cons-media,
martha maccallum,292,usa,cons-media,
michelle malkin,291,usa,cons-media,
wall street journal,285,usa,cons-media,
geraldo rivera,284,usa,cons-media,
gianni caldwell,261,usa,cons-media,
ingraham,249,usa,cons-media,
jeanine pirro,242,usa,cons-media,
dan bongino,238,usa,cons-media,
shapiro,215,usa,cons-media,
jennifer rubin,188,usa,cons-media,
#cpac,119,usa,cons-media,
anthony fauci,654,usa,corona-virus,
amador,458,usa,corona-virus,
symptoms border patrol,370,usa,corona-virus,
disease pandemics,202,usa,corona-virus,
hoax breakdown,132,usa,corona-virus,
pandemic specialist,132,usa,corona-virus,
mass-panic efforts,112,usa,corona-virus,
robert redfield,94,usa,corona-virus,
bases,7695,usa,defense,
pentagon,3580,usa,defense,
veteran,3454,usa,defense,
veterans,3426,usa,defense,
michael flynn,3373,usa,defense,
vets,2409,usa,defense,
vet,2320,usa,defense,
marines,2090,usa,defense,
defense bill,845,usa,defense,
space force,738,usa,defense,
homeland security,477,usa,defense,
mcdonnell,440,usa,defense,
war veteran,300,usa,defense,
coast guard,211,usa,defense,
marine corp vet,201,usa,defense,
charles brown jr.,79,usa,defense,
democrats,226104,usa,democrats,
obama,83980,usa,democrats,obama
dems,78756,usa,democrats,
pelosi,73331,usa,democrats,pelosi
nancy pelosi,50049,usa,democrats,pelosi
adam schiff,49692,usa,democrats,schiff
schiff,37577,usa,democrats,schiff
joe biden,34213,usa,democrats,biden
biden,31661,usa,democrats,biden
bernie,29412,usa,democrats,bernie
clinton,28916,usa,democrats,clinton
nancy,28234,usa,democrats,pelosi
bernie sanders,25822,usa,democrats,bernie
hillary,24303,usa,democrats,clinton
liberals,22467,usa,democrats,
hillary clinton,18861,usa,democrats,clinton
hunter biden,16591,usa,democrats,
democrat,15549,usa,democrats,
nadler,12365,usa,democrats,nadler
warren,12357,usa,democrats,warren
house democrats,11500,usa,democrats,
