Phrase,Freq,Country,#hashtag,Synonyms,UK-Gov
prague,335,czech,czech,FP-EU,0
denmark,1207,denmark,denmark,FP-EU,0
greenland,297,denmark,denmark,FP-EU,0
copenhagen,200,denmark,denmark,FP-EU,0
estonia,369,estonia,estonia,FP-EU,0
austria,639,eu,austria,FP-EU,0
belgium,1063,eu,belgium,FP-EU,0
vatican,945,eu,catholics,,0
catholics,865,eu,catholics,,0
euros,364,eu,economy,FP-EU,1
euro,262,eu,economy,FP-EU,1
eu,30347,eu,eu,FP-EU,1
europe,9652,eu,eu,FP-EU,1
brussels,4097,eu,eu,FP-EU,1
europeans,320,eu,eu,FP-EU,1
e.u.,251,eu,eu,FP-EU,1
european,215,eu,eu,FP-EU,1
#eu,203,eu,eu,FP-EU,1
eu-mandated,146,eu,eu,FP-EU,0
euro project,140,eu,eu,FP-EU,0
albania,193,eu,fp-albania,FP-Balkans,0
greece,1449,eu,fp-greece,FP-EU,0
athens,289,eu,fp-greece,FP-EU,0
kosovo,361,eu,fp-kosovo,FP-Balkans,0
serbia,306,eu,fp-serbia,FP-Balkans,0
germany,8038,eu,germany,FP-EU,0
merkel,1438,eu,germany,FP-EU,0
berlin,1273,eu,germany,FP-EU,0
german,471,eu,germany,FP-EU,0
deutsche,413,eu,germany,FP-EU,0
munich,372,eu,germany,FP-EU,0
hanau,116,eu,germany,FP-EU,0
italy,3003,eu,italy,FP-EU,0
rome,1085,eu,italy,FP-EU,0
venice,287,eu,italy,FP-EU,0
florence,218,eu,italy,FP-EU,0
pipelines,338,eu,NS2,FP-EU,0
poland,1928,eu,poland,FP-EU,0
polish,321,eu,poland,FP-EU,0
polish border,294,eu,poland,FP-EU,0
portugal,553,eu,portugal,FP-EU,0
romania,295,eu,romania,FP-EU,0
slovakia,146,eu,slovakia,FP-EU,0
soros,1254,eu,soros,,0
spain,1793,eu,spain,FP-EU,0
spanish,821,eu,spain,FP-EU,0
barcelona,377,eu,spain,FP-EU,0
catalonia,322,eu,spain,FP-EU,0
auspol,1000,eu,,,0
finland,832,finland,finland,FP-EU,0
france,13130,france,france,FP-EU,0
paris,4924,france,france,FP-EU,0
macron,820,france,france,FP-EU,0
strasbourg,699,france,france,FP-EU,0
french,649,france,france,FP-EU,0
emmanuel macron,563,france,france,FP-EU,0
calais,386,france,france,FP-EU,0
michael valls,277,france,france,FP-EU,0
normandy,272,france,france,FP-EU,0
#yellowvest,39,france,france,FP-EU,0
hungary,927,hungary,hungary,FP-EU,0
budapest,781,hungary,hungary,FP-EU,0
latvia,791,latvia,latvia,FP-EU,0
shell,1363,netherlands,netherlands,FP-EU,0
netherlands,980,netherlands,netherlands,FP-EU,0
maastricht,287,netherlands,netherlands,FP-EU,0
dutch,203,netherlands,netherlands,FP-EU,0
amsterdam,194,netherlands,netherlands,FP-EU,0
norway,1214,norway,norway,FP-EU,0
sweden,7828,sweden,sweden,FP-EU,0
stockholm,999,sweden,sweden,FP-EU,0
swedes,749,sweden,sweden,FP-EU,0
switzerland,2136,switzerland,switzerland,,0
geneva,273,switzerland,switzerland,,0
gina miller,1080,uk,activist,,0
nnamdi kanu,305,uk,activist,,0
terry jones,211,uk,actor,,0
ross kemp,190,uk,actor,,0
robert powell,188,uk,actor,,0
rowling,915,uk,author,,0
nigel farage,2103,uk,brexit,farage,0
nigel,1760,uk,brexit,farage,0
withdrawal agreement,1250,uk,brexit,,1
withdrawal agreement bill,861,uk,brexit,,1
brexit,451,uk,brexit,,1
brexiteer,263,uk,brexit,,0
FBPE,263,uk,brexit,,1
ToryBrexit,263,uk,brexit,,1
ricky gervais,1563,uk,comedian,,0
gervais,308,uk,comedian,,0
boris,25799,uk,conservatives,johnson,1
boris johnson,23410,uk,conservatives,johnson,1
conservatives,17244,uk,conservatives,,1
johnson,10044,uk,conservatives,johnson,1
tory,3067,uk,conservatives,,1
john bercow,1980,uk,conservatives,,0
boris johnsons,1659,uk,conservatives,johnson,1
tories,1463,uk,conservatives,,1
thatcher,1133,uk,conservatives,thatcher,0
borisjohnson,1000,uk,conservatives,johnson,1
tory party,920,uk,conservatives,,1
mark francois,553,uk,conservatives,,0
roger scruton,485,uk,conservatives,,0
margaret thatcher,420,uk,conservatives,thatcher,0
cameron,417,uk,conservatives,,0
dominic raab,401,uk,conservatives,,1
steve hilton,283,uk,conservatives,,0
iain duncan smith,278,uk,conservatives,,0
nicky morgan,272,uk,conservatives,,0
matt hancock,253,uk,conservatives,,1
Matty Hancock,253,uk,conservatives,,1
david cameron,233,uk,conservatives,,0
ken clarke,215,uk,conservatives,,0
alok sharma,100,uk,conservatives,,1
ben wallace,100,uk,conservatives,,1
rish,100,uk,conservatives,,1
rishi sunak,100,uk,conservatives,,1
sunak,100,uk,conservatives,,1
katie hopkins,757,uk,cons-media,,0
nightingale,7584,uk,corona-virus,,1
gtech,1254,uk,corona-virus,,1
jenny harries,808,uk,corona-virus,,1
job retention scheme,401,uk,corona-virus,,1
habib zaidi,331,uk,corona-virus,,1
chloe middleton,322,uk,corona-virus,,1
louisa jordan,289,uk,corona-virus,,1
nhs workers,229,uk,corona-virus,,1
herd immunity plan,165,uk,corona-virus,,1
#nih,157,uk,corona-virus,,1
chris whitty,100,uk,corona-virus,,1
chris witty,100,uk,corona-virus,,1
jenny harries,100,uk,corona-virus,,1
sir patrick,100,uk,corona-virus,,1
sir patrick vallance,100,uk,corona-virus,,1
snorkels,100,uk,corona-virus,,1
UK deaths,100,uk,corona-virus,,1
vallance,100,uk,corona-virus,,1
covid19uk,2,uk,corona-virus,,1
emily jones bolton,736,uk,crime,,1
emily jones,647,uk,crime,,1
RAF,1888,uk,defense,,1
Royal Air Force,1888,uk,defense,,1
Royal Navy,1888,uk,defense,,1
austerity,1972,uk,economy,,1
pounds,1526,uk,economy,,0
pupils,7521,uk,education,,1
referendum,6247,uk,election,,0
tommy robinson,2039,uk,far-right,robinson,0
scott morrison,835,uk,fp-australia,,0
australian,215,uk,fp-australia,,0
downing st,100,uk,government,johnson,1
downing street,100,uk,government,johnson,1
HME,100,uk,government,,1
HMG,100,uk,government,,1
no 10,100,uk,government,johnson,1
chinks,110,uk,hate,,1
orientals,110,uk,hate,,1
slitty-eyed,110,uk,hate,,1
slopes,110,uk,hate,,1
nhs,1794,uk,health,,1
christopher steele,2415,uk,intel,,0
owen,2633,uk,journalist,,0
andrew neil,1481,uk,journalist,,0
brendan oneill,1304,uk,journalist,,1
owen jones,1165,uk,journalist,,1
paul mason,391,uk,journalist,,0
laura kuenssberg,384,uk,journalist,,1
ash sarkar,320,uk,journalist,,0
eamonn holmes,209,uk,journalist,,0
victoria derbyshire,192,uk,journalist,,0
maggie oliver,294,uk,justice,,0
scottish judges,103,uk,justice,,1
scottish juries,103,uk,justice,,1
scottish jury,103,uk,justice,,1
labour,32173,uk,labour,,0
jeremy corbyn,11480,uk,labour,corbyn,1
labour party,9206,uk,labour,,1
jeremy,7059,uk,labour,corbyn,0
jess phillips,2799,uk,labour,phillips,0
blair,2331,uk,labour,blair,0
corbyn,2228,uk,labour,corbyn,1
emily thornberry,2215,uk,labour,thornberry,0
keir starmer,1660,uk,labour,starmer,1
labor,1651,uk,labour,,0
labour leader,1541,uk,labour,,0
sadiq khan,1371,uk,labour,khan,1
diane abbott,1320,uk,labour,abbott,0
tony blair,1299,uk,labour,blair,0
labour government,1092,uk,labour,,0
clive lewis,1069,uk,labour,lewis,0
labour mps,917,uk,labour,,0
john mcdonnell,916,uk,labour,,1
angela rayner,889,uk,labour,,0
richard burgon,711,uk,labour,,0
david lammy,697,uk,labour,,1
barry gardiner,537,uk,labour,,0
labour activist,454,uk,labour,,0
lindsay hoyle,405,uk,labour,,0
labour candidate,391,uk,labour,,0
chris williamson,359,uk,labour,,0
miliband,350,uk,labour,,0
dennis skinner,323,uk,labour,,0
keith vaz,300,uk,labour,,0
labour mp,296,uk,labour,,0
yvette cooper,289,uk,labour,,0
george galloway,285,uk,labour,,1
jess philips,281,uk,labour,,1
lisa nandy,270,uk,labour,,0
jon ashworth,256,uk,labour,,0
ken loach,256,uk,labour,,0
labour members,239,uk,labour,,0
alan johnson,225,uk,labour,,0
labour leadership race,219,uk,labour,,0
ken livingstone,216,uk,labour,,0
labour member,214,uk,labour,,0
labour manifesto,210,uk,labour,,0
labour voter,204,uk,labour,,0
labour party members,203,uk,labour,,0
kate hoey,202,uk,labour,,0
labour movement,201,uk,labour,,0
andy burnham,199,uk,labour,,0
joan collins,185,uk,labour,,0
labour party leader,183,uk,labour,,0
tony benn,182,uk,labour,,0
jonathan ashworth,181,uk,labour,,0
labour results,181,uk,labour,,0
swinson,1459,uk,libdems,swinson,0
jo swinson,450,uk,libdems,swinson,0
libdems,367,uk,libdems,,0
sky,2357,uk,media,,1
bbc,1554,uk,media,,1
guardian,376,uk,media,,1
david attenborough,239,uk,media,,0
robert maxwell,185,uk,media,,0
andrew marr,100,uk,media,,1
kuenssberg,100,uk,media,,1
laura kuenssberg,100,uk,media,,1
radio 2,100,uk,media,,1
radio 4,100,uk,media,,1
harry,17792,uk,royalty,harry,1
meghan,15627,uk,royalty,meghan,1
queen,7563,uk,royalty,queen,1
meghan markle,6199,uk,royalty,meghan,1
duchess,2558,uk,royalty,,0
