Phrase,Freq,Country,#hashtag
democrats,226104,usa,democrat
impeachment,175036,usa,impeachment
america,124925,usa,
house,99320,usa,
iran,86244,usa,fp-iran
obama,83980,usa,democrat
media,82729,,media
dems,78756,usa,democrat
senate,77871,usa,
pelosi,73331,usa,democrat
president trump,68977,usa,republican
election,66802,,election
state,64526,usa,
life,58926,,value
ukraine,58177,usa,fp-ukraine
money,56046,,economy
power,53992,,power
evidence,52932,,justice
history,52326,,history
twitter,50399,usa,media
nancy pelosi,50049,usa,democrat
adam schiff,49692,usa,democrat
law,48995,,justice
fbi,48446,usa,fbi
truth,47978,,value
campaign,47127,,election
trump,46980,usa,republican
states,46533,usa,
family,46165,,family
government,44332,,government
court,43735,,justice
investigation,43335,,justice
women,42177,,segment
children,41718,,segment
woman,41498,,segment
war,41443,,conflict
u.s.,39400,usa,
virginia,37590,usa,
schiff,37577,usa,democrat
voters,36054,,election
russia,35621,,russia
job,35608,,economy
corruption,34677,,crime
joe biden,34213,usa,democrat
abuse,33955,,crime
rally,33930,,protest
god,33898,,religion
men,33401,,segment
china,33007,usa,fp-china
deal,32827,,deal
labour,32173,uk,party
lies,31790,,value
biden,31661,usa,democrat
economy,31418,,economy
citizens,30490,,immigration
crime,30439,,crime
nation,30351,,nationalism
eu,30347,eu,eu
facts,29868,,value
bernie,29412,usa,democrat
clinton,28916,usa,democrat
constitution,28586,,value
witnesses,28506,,justice
death,28256,,conflict
nancy,28234,usa,democrat
trial,28188,,justice
vote,27500,,election
home,27443,,value
justice,27387,,justice
jobs,26446,,economy
bernie sanders,25822,usa,democrat
boris,25799,uk,conservative
bill,25772,,justice
police,25187,,justice
christmas,25037,,religion
kids,24727,,segment
hell,24370,,religion
hillary,24303,usa,democrat
crimes,23705,,crime
rights,23684,,justice
terrorists,23507,,terrorism
boris johnson,23410,uk,conservative
americans,23148,usa,
donald,22617,usa,republican
liberals,22467,usa,democrat
iraq,22040,usa,fp-iraq
child,21951,,segment
speaker,21128,usa,
freedom,21015,usa,value
israel,20906,,fp-israel
canada,20265,usa,fp-canada
washington,19210,usa,
candidate,19155,,elections
flynn,18981,usa,intelligence
coup,18871,,conflict
hillary clinton,18861,usa,democrat
attack,18816,,conflict
shot,18777,,crime
american,18663,usa,
liar,18544,,value
california,18507,usa,
horowitz,17933,usa,justice
votes,17859,,election
harry,17792,uk,royalty
attorney,17775,,justice
donald trump,17390,usa,republican
senators,17348,usa,
britain,17327,uk,
conservatives,17244,uk,conservative
security,16789,,security
troops,16740,,defense
threat,16670,,conflict
democracy,16608,,election
hunter biden,16591,usa,democrat
violence,16555,,conflict
prison,16456,,crime
debate,16386,,election
families,16142,,family
school,16007,,education
london,15888,uk,
poll,15752,,election
meghan,15627,uk,royalty
girls,15569,,segment
girl,15562,,segment
guns,15560,,gun control
democrat,15549,usa,democrat
trade deal,15419,,economy
lives,15331,,value
students,15182,,education
australia,15102,,fp-australia
impeachment trial,15023,usa,impeachment
elections,15003,,election
iowa,14632,usa,
protesters,14537,,protest
florida,14448,usa,
climate change,14425,,cc
press,14086,,media
journalists,13852,,media
patriot,13651,,nationalism
mueller,13625,usa,justice
missiles,13552,,defense
enemy,13475,,conflict
hollywood,13391,usa,media
racism,13366,,race
judge,13327,,justice
greta,13281,,cc
flag,13215,,nationalism
france,13130,france,france
socialism,13052,,ideology
potus,13036,usa,trump
amendment,12954,usa,justice
texas,12846,usa,
tx,12846,usa,
republicans,12811,usa,republican
jail,12723,,crime
parliament,12686,uk,
